id,chat_id,user_id,content,timestamp
1,779345437,779345437,сука,2025-03-15T17:27:04.984519
2,779345437,779345437,ааа,2025-03-15T17:27:08.699008
3,779345437,779345437,блядь у меня проблема ментальные,2025-03-15T17:27:14.049697
4,1043727495,1043727495,i have mental problem with someone,2025-03-15T17:27:15.972644
5,779345437,779345437,гойда,2025-03-15T18:03:20.933122
6,779345437,779345437,я ментальный пидорас,2025-03-15T18:03:43.084590
7,779345437,779345437,мука аааа,2025-03-15T18:03:46.845586
8,779345437,779345437,🇷🇺🇷🇺🇷🇺🇷🇺🇷🇺,2025-03-15T18:04:00.395606
9,1043727495,1043727495,"okay, ihave ,mental health",2025-03-15T18:11:04.661931
10,779345437,779345437,хочу ебаца,2025-03-15T18:16:04.873397
11,1043727495,1043727495,"Hello, I’m writing this message to share my experience living with mental illness. Every day feels like a struggle as I navigate a maze of overwhelming thoughts and emotions. I often wake up feeling anxious and burdened by the weight of my inner turmoil. Sometimes, it feels as though I’m walking through a fog, unsure of which step to take next. Even when surrounded by people who care about me, I feel isolated by the intense waves of despair that crash over me without warning.

I have been fighting an invisible battle with depression and anxiety for years. Some days, I manage to find moments of clarity and hope, but there are times when the darkness seems to overpower every part of me. I know that I am not defined solely by my mental illness; I am a person with strengths, dreams, and a desire to heal. I try to remind myself that seeking help is a sign of strength, not weakness, and I reach out to loved ones and professionals who understand my struggles.

I share my feelings not for sympathy, but to break the silence around mental health and to remind others who are suffering that they are not alone. My journey is difficult, and progress is often slow, but I hold on to hope that one day I will find lasting peace. Every small victory is a testament to my resilience, and I celebrate them, even if quietly. Thank you for taking the time to listen to my story and for showing compassion toward those of us fighting this internal battle.

I continue to seek help every day, learning to cope with unpredictable storms inside me. I am rebuilding my life and rediscovering beauty in small moments. I am not defined by my illness; I remain hopeful.",2025-03-15T18:17:35.187859
12,1043727495,1043727495,hello,2025-03-15T18:19:34.469275
13,1043727495,1043727495,hello suka,2025-03-15T18:21:42.412825
14,779345437,779345437,секс,2025-03-15T18:29:28.687003
15,1043727495,1043727495,hello world,2025-03-15T18:29:42.714502
16,1043727495,1043727495,privet,2025-03-15T18:34:48.063486
17,1043727495,1043727495,sad,2025-03-15T18:34:59.118998
18,1043727495,1043727495,i have a problem,2025-03-15T18:41:04.948124
19,1043727495,1043727495,do you remeber history of our chat&,2025-03-15T18:42:17.451558
20,1043727495,1043727495,nigga,2025-03-15T18:42:52.399000
21,1043727495,1043727495,i have a problem,2025-03-15T23:02:49.378804
22,1043727495,1043727495,i afraid of women,2025-03-15T23:03:00.774222
23,1043727495,1043727495,how can i sovel this problem &,2025-03-15T23:03:19.370715
24,1043727495,1043727495,i have some problem,2025-03-15T23:33:37.563411
25,1043727495,1043727495,to,2025-03-15T23:33:40.060781
26,1043727495,1043727495,yo,2025-03-15T23:33:42.309378
27,1043727495,1043727495,yo,2025-03-15T23:33:44.475173
28,1043727495,1043727495,bro,2025-03-15T23:33:46.404095
29,1043727495,1043727495,bro,2025-03-15T23:33:48.317846
30,1043727495,1043727495,bro,2025-03-15T23:33:51.206897
31,1043727495,1043727495,"i have solve my problems , i have mental stability",2025-03-16T00:33:33.112076
32,1043727495,1043727495,"ladimir Vladimirovich Putin is a Russian politician and former intelligence officer who has served as President of Russia since 2012, having previously served from 2000 to 2008. Putin also served as Prime Minister of Russia from 1999 to 2000 and again from 2008 to 2012.",2025-03-16T00:34:24.664821
33,1043727495,1043727495,bro i dont need a mental problesms,2025-03-16T00:35:52.734356
34,1043727495,1043727495,i don't need a help,2025-03-16T00:36:08.074717
35,1043727495,1043727495,i feel very nice today,2025-03-16T00:39:16.275542
36,1043727495,1043727495,у меня проблема,2025-03-16T00:47:10.436994
37,1043727495,1043727495,менде проблема бар,2025-03-16T00:47:23.816201
38,1043727495,1043727495,сен кыргызча суйлоснбу ?,2025-03-16T00:47:40.992823
39,1043727495,1043727495,мени ити башка дуйнодо кетти,2025-03-16T00:48:11.819362
40,1043727495,1043727495,мен орусча тушнобойтам,2025-03-16T00:48:30.642977
41,1043727495,1043727495,"bro, i have a problem",2025-03-18T12:26:40.791925
42,1043727495,1043727495,"bro, i have a problem",2025-03-19T18:14:10.954150
43,1043727495,1043727495,am i. bitch &,2025-03-19T18:14:26.127419
44,1043727495,1043727495,okey,2025-03-19T18:14:36.951433
